OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;CONSONA;PDLNA;INDQUALNA
Régie d’électricité de Roquebillière;2008;E;Commune;06103;0,00;0;0,000000;1270,00;7;1,000000;1601,00;97;1,000000;5954,00;1154;1,000000;963,00;53;1,000000
Régie municipale d’électricité d’Arignac;2008;E;Commune;09015;0,00;0;0,000000;164,00;1;1,000000;358,00;30;0,500000;1703,00;410;0,500000;267,00;16;0,500000
Régie municipale d’électricité de Dalou;2008;E;Commune;09104;0,00;0;0,000000;0,00;0;0,000000;54,00;8;1,000000;1704,00;352;1,000000;287,00;15;1,000000
Régie municipale d’électricité de l’Hospitalet Près L’Andorre;2008;E;Commune;09139;0,00;0;0,000000;0,00;0;0,000000;490,00;27;1,000000;344,00;98;1,000000;272,00;19;1,000000
Régie municipale d’électricité de Mazères;2008;E;Commune;09185;374,00;95;1,000000;8010,00;14;1,000000;2760,00;101;1,000000;9000,00;1741;1,000000;560,00;83;1,000000
Régie municipale d’électricité de Mercus et Garrabet;2008;E;Commune;09188;0,00;0;0,000000;0,00;0;0,000000;323,00;28;0,500000;2243,00;487;0,500000;427,00;35;0,500000
Régie municipale d’électricité de Mérens Les Vals;2008;E;Commune;09189;0,00;0;0,000000;0,00;0;0,000000;0,00;0;1,000000;751,00;255;1,000000;290,00;23;1,000000
Régie municipale d’électricité de Quié;2008;E;Commune;09240;0,00;0;0,000000;0,00;0;0,000000;4,00;2;1,000000;688,00;172;1,000000;374,00;6;1,000000
Régie municipale d’électricité de Tarascon sur Ariège;2008;E;Commune;09306;0,00;0;0,000000;2920,00;7;1,000000;4242,00;226;0,500000;6892,00;1631;0,500000;1947,00;169;0,500000
Régie municipale d’électricité de Varilhes;2008;E;Commune;09324;0,00;0;0,000000;1169,00;5;1,000000;715,00;125;1,000000;8618,00;1669;1,000000;712,00;85;1,000000
Régie municipale d’électricité de Vicdessos;2008;E;Commune;09334;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2966,00;501;1,000000;0,00;0;0,000000
Régie municipale d’énergie Electrique de Quillan;2008;E;Commune;11304;0,00;0;0,000000;4199,42;14;0,000000;1395,97;22;0,000000;10543,26;2495;0,000000;0,00;0;0,000000
Régie municipale d’électricité de Miramont Les Comminges;2008;E;Commune;31344;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;2358,00;453;0,000000;0,00;0;0,000000
Régie municipale multiservices de La Réole;2008;E;Commune;33352;17,61;3;0,800000;1119,76;17;0,800000;1807,01;132;0,800000;3793,00;1117;0,800000;9,38;6;0,800000
Gignac Energie;2008;E;Commune;34114;0,00;0;1,000000;3518,00;6;1,000000;4007,00;71;1,000000;15856,00;2595;1,000000;297,00;106;1,000000
Groupement Elise - Régie d’Allemont;2008;E;Commune;38005;0,00;0;0,000000;0,00;0;0,000000;2199,00;134;0,000000;3924,00;789;0,000000;0,00;0;0,000000
Régie municipale d’électricité d’Allevard;2008;E;Commune;38006;0,00;0;0,000000;0,00;0;0,000000;11755,00;437;0,000000;11638,00;2632;0,000000;0,00;0;0,000000
Régie municipale d’électricité de la Ferrière;2008;E;Commune;38163;0,00;0;0,000000;0,00;0;0,000000;3104,00;85;0,000000;2033,00;753;0,000000;0,00;0;0,000000
Groupement Elise - Régie du Moutaret;2008;E;Commune;38268;0,00;0;0,000000;0,00;0;0,000000;89,00;14;0,000000;661,00;126;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Pinsot;2008;E;Commune;38306;0,00;0;0,000000;0,00;0;0,000000;107,00;28;0,000000;681,00;186;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Saint-Marcellin;2008;E;Commune;38416;0,00;0;0,000000;13052,00;15;0,000000;16362,00;889;0,000000;21913,00;4242;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Saint-Pierre-d’Allevard;2008;E;Commune;38439;0,00;0;0,000000;0,00;0;0,000000;1705,00;24;0,000000;7374,00;1195;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Séchilienne;2008;E;Commune;38478;0,00;0;0,000000;0,00;0;0,000000;438,00;46;0,000000;2483,00;443;0,000000;0,00;0;0,000000
Groupement Elise - Régie de Villard-Bonnot;2008;E;Commune;38547;0,00;0;0,000000;10526,00;3;0,000000;7358,00;486;0,000000;16211,00;3193;0,000000;0,00;0;0,000000
Gascognes Energie Services;2008;E;Commune;40001;165,00;26;1,000000;5980,00;5;1,000000;16850,00;590;1,000000;16780,00;3440;1,000000;900,00;150;1,000000
Régie communale d’électricité de Saulnes;2008;E;Commune;54493;0,00;0;0,000000;1644,00;2;0,000000;0,00;0;0,000000;5370,00;1262;0,000000;0,00;0;0,000000
Energies et Services ville d’Amneville;2008;E;Commune;57019;0,00;0;0,000000;30863,00;20;1,000000;6491,00;49;1,000000;24104,00;4909;1,000000;0,00;0;0,000000
RME et de télédistribution de Clouange;2008;E;Commune;57143;0,00;0;0,000000;0,00;0;0,000000;4080,00;18;1,000000;8560,00;2478;1,000000;0,00;0;0,000000
Energies et Services Creutzwald;2008;E;Commune;57160;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;83450,00;7034;1,000000
Régie municipale d’électricité de Gandrange;2008;E;Commune;57242;0,00;0;0,000000;2525,00;1;1,000000;648,00;8;1,000000;6067,00;1115;1,000000;0,00;0;0,000000
Energies et Services Hombourg-Haut;2008;E;Commune;57332;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;20090,00;4154;1,000000
Energies et Services - Régie d’électricité de Sainte-Marie-Aux-Chênes;2008;E;Commune;57620;0,00;0;0,000000;10628,00;21;1,000000;5721,00;38;1,000000;8620,00;1700;0,870000;903,00;65;1,000000
Energies et Services Schoeneck;2008;E;Commune;57638;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;10266,00;1281;1,000000
Régie électrique municipale de Fontaine-au-Pire;2008;E;Commune;59243;118,00;8;0,000000;0,00;0;0,000000;1071,00;9;0,000000;2195,00;514;0,000000;0,00;0;0,000000
Régie communale du câble et d’électricité de Montataire;2008;E;Commune;60414;0,00;0;0,000000;27141,00;0;1,000000;11615,00;0;1,000000;17989,00;0;1,000000;0,00;5607;1,000000
Régies municipales électriques de Capvern;2008;E;Commune;65127;1,00;10;1,000000;0,00;0;0,000000;1784,00;92;1,000000;3939,00;784;1,000000;0,00;0;0,000000
Régie électrique de Prats-de-Mollo-la-Preste;2008;E;Commune;66150;65,00;6;1,000000;0,00;0;0,000000;3085,00;124;1,000000;4000,00;1153;1,000000;0,00;0;0,000000
Régie électrique de Saint Laurent de Cerdans;2008;E;Commune;66179;94930,00;7;1,000000;980200,00;258;1,000000;0,00;0;0,000000;2740095,00;788;1,000000;399500,00;38;1,000000
Energies et Services Sarre-Union;2008;E;Commune;67434;118,59;13;0,900000;17221,23;13;0,900000;7579,34;270;0,900000;6430,27;1543;0,850000;0,10;3;0,900000
Centrale électrique Vonderscheer de Ville;2008;E;Commune;67507;0,00;0;0,000000;327,00;4;1,000000;513,00;5;1,000000;5272,00;1161;0,950000;0,00;0;0,000000
Vialis SAEM;2008;E;Commune;68066;521,00;0;0,000000;72986,00;0;0,000000;150755,00;0;0,000000;41299,00;0;0,000000;212993,00;0;0,000000
Régie électrique d'Avrieux;2008;E;Commune;73026;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;3573,68;310;0,900000;0,00;0;0,000000
Régie municipale d’électricité de La Chambre;2008;E;Commune;73067;0,00;0;1,000000;830,00;1;1,000000;2360,00;110;1,000000;5007,00;665;1,000000;394,00;30;1,000000
Régie électrique de La Chapelle;2008;E;Commune;73074;0,00;0;1,000000;0,00;0;1,000000;0,00;0;1,000000;1247,00;200;1,000000;0,00;0;1,000000
Syndicat d’électricité Synergie Maurienne;2008;E;Commune;73194;0,00;0;0,000000;186572,00;9;1,000000;3373724,00;69;0,800000;2838339,00;352;0,500000;0,00;0;0,000000
Régie municipale de Presle;2008;E;Commune;73207;0,00;0;0,000000;0,00;0;0,000000;90,00;6;0,000000;1112,00;278;0,000000;0,00;0;0,000000
Régie municipale de Saint-Avre;2008;E;Commune;73224;0,00;0;1,000000;184,00;1;1,000000;675,00;29;1,000000;2521,00;522;1,000000;198,00;21;1,000000
Régie d’électricité de Sainte Marie de Cuines;2008;E;Commune;73255;0,00;0;1,000000;1127,00;1;1,000000;295,00;14;1,000000;2438,00;412;1,000000;224,00;33;1,000000
Syndicat d’électricité Synergie Maurienne;2008;E;Commune;73258;0,00;0;0,000000;6987037,00;4;1,000000;229588,00;24;0,800000;2328863,00;448;0,500000;0,00;0;0,000000
Régie municipale d’électricité de Saint Martin S/Chambre;2008;E;Commune;73259;0,00;0;1,000000;0,00;0;1,000000;120,00;4;1,000000;1799,00;320;1,000000;184,00;23;1,000000
Syndicat d’électricité Synergie Maurienne;2008;E;Commune;73261;0,00;0;0,000000;113628,00;25;1,000000;5558936,00;247;0,800000;7815536,00;1725;0,500000;0,00;0;0,000000
Régie électrique de Tignes;2008;E;Commune;73296;150,00;19;0,900000;546,00;31;0,900000;50909,00;845;0,900000;10251,00;5344;0,900000;0,00;0;0,900000
Régie municipale d’électricité de Tours en Savoie;2008;E;Commune;73298;0,00;0;1,000000;1131,00;13;1,000000;171,00;20;1,000000;2520,00;421;1,000000;111,00;11;1,000000
Régie d’électricité d’Elbeuf;2008;E;Commune;76231;0,00;0;0,000000;5915,00;12;0,000000;0,00;0;0,000000;46230,00;9640;0,000000;9303,00;59;0,000000
Régie Gazelec de Péronne;2008;E;Commune;80620;40,00;2;1,000000;25451,00;20;1,000000;9723,00;99;1,000000;23648,00;5145;1,000000;0,00;0;1,000000
Régie municipale gaz-électricité de Carmaux;2008;E;Commune;81060;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;26052,00;6325;0,500000;5902,00;75;1,000000
